id,name,price,original_price,discount_percentage,detail,platform,productmasterid,createdat
1,Dove 3 in 1 Super Shampoo Serum 125 mL,18200,27250,33%,125 mL,blibli,1,2025-09-01T18:48:06.546342+07:00
2,Vaseline Healthy Bright​ Gluta-Hyaluron Serum Burst Flawless Bright UV Lotion 200 mL,36600,64900,44%,200 mL,blibli,2,2025-09-01T18:48:07.842274+07:00
3,Pepsodent Pencegah Gigi Berlubang with Mikrokalsium Pasta Gigi Value Pack 225 g [2 Pcs] --,25800,27500,6%,225 g,blibli,3,2025-09-01T18:48:08.900544+07:00
4,PEPSODENT Pencegah Gigi Berlubang Pasta Gigi 190 g Value Pack [2 Pcs],26700,28500,6%,190 g,blibli,3,2025-09-01T18:48:09.706282+07:00
5,Bango Kecap Manis [720 G],21500,30100,29%,720 G,blibli,4,2025-09-01T18:48:10.379898+07:00
6,Pepsodent Pencegah Gigi Berlubang Pasta Gigi 75 g,5800,5800,-,75 g,blibli,3,2025-09-01T18:48:11.009461+07:00
7,Vaseline Healthy Bright​ Gluta-Hyaluron Serum Burst Dewy Radiance Lotion 200 mL,61000,64900,6%,200 mL,blibli,2,2025-09-01T18:48:12.198007+07:00
8,Vaseline Healthy Bright​ Gluta Hyaluron & Peptide Serum Overnight Repair Body Lotion 330 mL,91900,97800,6%,330 mL,blibli,2,2025-09-01T18:48:13.652849+07:00
9,Pepsodent Pasta Gigi Pencegah Gigi Berlubang [225 g],17200,18300,6%,225 g,blibli,3,2025-09-01T18:48:15.113205+07:00
10,Pepsodent Sensitive Mineral Expert Whitening Pasta Gigi [100 g x 3] Free Lock&lock 1.5L,92400,123300,25%,100 g,blibli,3,2025-09-01T18:48:16.491972+07:00
11,CLEAR Men Shampoo Anti Ketombe 3 in 1 Clean Active Sampo Tonik Sabun 48 Jam Perlindungan Aktif [160 mL],31800,33900,6%,160 mL,blibli,5,2025-09-01T18:48:17.921270+07:00
12,Clear Anti Ketombe & Rambut Rontok Shampoo [160 mL],33500,35650,6%,160 mL,blibli,5,2025-09-01T18:48:18.690283+07:00
13,Buy 2 Pepsodent Complete 8 Whitening Toothpaste Pasta Gigi [190 g] + Free Vaseline Gluta Hyaluron UV Lotion Flawless Bright [100 mL],57300,91200,37%,190 g,blibli,3,2025-09-01T18:48:19.324835+07:00
14,Dove Deeply Nourish Body Wash [400 mL x 2 Pcs],49900,72950,32%,400 mL,blibli,1,2025-09-01T18:48:20.820265+07:00
15,"CLEAR Shampoo Anti Ketombe Perawatan Komplit, 48 Jam Melindungi dari Gatal dan Lawan Minyak dengan 10x Super Vitamin [1200 mL]",161700,172100,6%,1200 mL,blibli,5,2025-09-01T18:48:22.065346+07:00
