id,name,price,original_price,discount_percentage,detail,platform,productmasterid,createdat
1,Biskuat Biskuit Bite Original 35G,6300,nan,,35G,indomaret,6,2025-09-01T17:27:14.313411+07:00
2,Aquviva Air Mineral 12X250mL,12000,nan,,250mL,indomaret,7,2025-09-01T17:27:14.313921+07:00
3,Larisst Garam Kasar 500G,7900,nan,,500G,indomaret,8,2025-09-01T17:27:14.314332+07:00
4,Campina Ice Cream Seoul Lychee Yoghurt 55mL,4500,nan,,55mL,indomaret,9,2025-09-01T17:27:14.314722+07:00
5,Indofood Ice Cream Espessia Lokarasa Kelapa Kopyor 50mL,4000,nan,,50mL,indomaret,10,2025-09-01T17:27:14.315172+07:00
6,Wall's Ice Cream Cornetto Disc Choco Hazelnut 108mL,13500,nan,,108mL,indomaret,11,2025-09-01T17:27:14.315577+07:00
7,Rinso Detergent Cair Japanese Peach 700mL,20400,nan,,700mL,indomaret,12,2025-09-01T17:27:14.315964+07:00
8,Airpro Air Freshener Essentials Fruity Delight 9mL,17500,nan,,9mL,indomaret,13,2025-09-01T17:27:14.316348+07:00
9,Rasa Masa Bumbu Nusantara Sayur Lodeh 25G,2300,nan,,25G,indomaret,14,2025-09-01T17:27:14.316743+07:00
10,Duff Rokok Filter Red 20's,26700,nan,,-,indomaret,15,2025-09-01T17:27:14.317104+07:00
11,Cbd Color Shield Hairmask 35G,11400,nan,,35G,indomaret,16,2025-09-01T17:27:14.317513+07:00
12,Gatsby Eau De Blue Roll On Deodorant Air Code 50mL,22500,nan,,50mL,indomaret,17,2025-09-01T17:27:14.317951+07:00
13,Scarlett Extrait De Parfume Velvet Rouge 30mL,57900,nan,,30mL,indomaret,18,2025-09-01T17:27:14.318360+07:00
14,Rasa Masa Bumbu Nusantara Opor Ayam 40G,3900,nan,,40G,indomaret,14,2025-09-01T17:27:14.318731+07:00
15,Rasa Masa Bumbu Nusantara Gulai Ayam 40G,3900,nan,,40G,indomaret,14,2025-09-01T17:27:14.319113+07:00
